Index,Time,(Gimbal_Control).pitch_position_ref,(Gimbal_Control).present_mode,(Gimbal_Control).last_mode,(AutoAim_Control).armor_pitch,(MiniPC_Data).is_get_target,(AutoAim_Control).hit_mode
123,0.123107,-2.01599932,1,1,-0,0,0
124,0.124104,-2.02299929,1,1,-0,0,0
125,0.125095,-2.02999926,1,1,-0,0,0
126,0.126107,-2.03699923,1,1,-0,0,0
127,0.127093,-2.0439992,1,1,-0,0,0
128,0.128105,-2.06599927,1,1,-0,0,0
129,0.129096,-2.08799934,1,1,-0,0,0
130,0.130107,-2.10999942,1,1,-0,0,0
131,0.131090,-2.13199949,1,1,-0,0,0
132,0.132102,-2.15399957,1,1,-0,0,0
133,0.133093,-2.17599964,1,1,-0,0,0
134,0.134106,-2.19799972,1,1,-0,0,0
135,0.135103,-2.21999979,1,1,-0,0,0
136,0.136094,-2.24199986,1,1,-0,0,0
137,0.137108,-2.26399994,1,1,-0,0,0
138,0.138091,-2.28600001,1,1,-0,0,0
139,0.139103,-2.30800009,1,1,-0,0,0
140,0.140094,-2.33000016,1,1,-0,0,0
141,0.141105,-2.35200024,1,1,-0,0,0
142,0.142089,-2.37400031,1,1,-0,0,0
143,0.143108,-2.39600039,1,1,-0,0,0
144,0.144091,-2.41800046,1,1,-0,0,0
145,0.145146,-2.44000053,1,1,-0,0,0
146,0.146099,-2.46200061,1,1,-0,0,0
147,0.147112,-2.48400068,1,1,-0,0,0
148,0.148108,-2.50600076,1,1,-0,0,0
149,0.149092,-2.52800083,1,1,-0,0,0
150,0.150103,-2.55000091,1,1,-0,0,0
151,0.151094,-2.57200098,1,1,-0,0,0
152,0.152105,-2.59400105,1,1,-0,0,0
153,0.153089,-2.61600113,1,1,-0,0,0
154,0.154108,-2.6380012,1,1,-0,0,0
155,0.155091,-2.66000128,1,1,-0,0,0
156,0.156102,-2.68200135,1,1,-0,0,0
157,0.157109,-2.70400143,1,1,-0,0,0
158,0.158105,-2.7260015,1,1,-0,0,0
159,0.159089,-2.74800158,1,1,-0,0,0
160,0.160108,-2.77000165,1,1,-0,0,0
161,0.161091,-2.79200172,1,1,-0,0,0
162,0.162102,-2.8140018,1,1,-0,0,0
163,0.163093,-2.83600187,1,1,-0,0,0
164,0.164105,-2.85800195,1,1,-0,0,0
165,0.165096,-2.88000202,1,1,-0,0,0
166,0.166108,-2.9020021,1,1,-0,0,0
167,0.167213,-2.92400217,1,1,-0,0,0
168,0.168002,-2.94600224,1,1,-0,0,0
169,0.169103,-2.96800232,1,1,-0,0,0
170,0.170094,-3.00400233,1,1,-0,0,0
171,0.171105,-3.04000235,1,1,-0,0,0
172,0.172096,-3.07600236,1,1,-0,0,0
173,0.173108,-3.11200237,1,1,-0,0,0
174,0.174091,-3.14800239,1,1,-0,0,0
175,0.175102,-3.1840024,1,1,-0,0,0
176,0.176093,-3.22000241,1,1,-0,0,0
177,0.177108,-3.25600243,1,1,-0,0,0
178,0.178111,-3.29200244,1,1,-0,0,0
179,0.179108,-3.32800245,1,1,-0,0,0
180,0.180091,-3.36400247,1,1,-0,0,0
181,0.181103,-3.40000248,1,1,-0,0,0
182,0.182094,-3.43600249,1,1,-0,0,0
183,0.183105,-3.47200251,1,1,-0,0,0
184,0.184096,-3.50800252,1,1,-0,0,0
185,0.185108,-3.54400253,1,1,-0,0,0
186,0.186091,-3.58000255,1,1,-0,0,0
187,0.187105,-3.61600256,1,1,-0,0,0
188,0.188096,-3.65200257,1,1,-0,0,0
189,0.189119,-3.68800259,1,1,-0,0,0
190,0.190106,-3.7240026,1,1,-0,0,0
191,0.191103,-3.76000261,1,1,-0,0,0
192,0.192094,-3.79600263,1,1,-0,0,0
193,0.193105,-3.83200264,1,1,-0,0,0
194,0.194096,-3.86800265,1,1,-0,1,0
195,0.195107,-3.90400267,1,1,-0,1,0
196,0.196091,-3.94000268,1,1,-0,1,0
197,0.197105,-3.97600269,1,1,-0,1,0
198,0.198106,-4.01200247,1,1,-0,1,0
199,0.199103,-4.04800224,1,1,-0,1,0
200,0.200094,-4.08400202,1,1,-0,1,0
201,0.201105,-4.12000179,1,1,-0,1,0
202,0.202149,-4.15600157,1,1,-0,1,0
203,0.203096,-4.19200134,1,1,-0,1,0
204,0.204108,-7.67999983,1,1,-7.67999983,1,0
205,0.205091,-7.67999983,1,1,-7.67999983,1,0
206,0.206103,-7.67999983,1,1,-7.67999983,1,0
207,0.207097,-7.67999983,1,1,-7.67999983,1,0
208,0.208109,-7.67999983,1,1,-7.67999983,1,0
209,0.209092,-7.67999983,1,1,-7.67999983,1,0
210,0.210103,-7.67999983,1,1,-7.67999983,1,0
211,0.211094,-7.67999983,1,1,-7.67999983,1,0
212,0.212106,-7.67999983,1,1,-7.67999983,1,0
213,0.213089,-7.67999983,1,1,-7.67999983,1,0
214,0.214106,-7.67999983,1,1,-7.67999983,1,0
215,0.215103,-7.67999983,1,1,-7.67999983,1,0
216,0.216094,-7.67999983,1,1,-7.67999983,1,0
217,0.217108,-7.67999983,1,1,-7.67999983,1,0
218,0.218091,-7.67999983,1,1,-7.67999983,1,0
219,0.219103,-7.67999983,1,1,-7.67999983,1,0
220,0.220094,-7.67999983,1,1,-7.67999983,1,0
221,0.221105,-7.67999983,1,1,-7.67999983,1,0
222,0.222089,-7.67999983,1,1,-7.67999983,1,0
223,0.223108,-7.67999983,1,1,-7.67999983,1,0
224,0.224091,-7.65999985,1,1,-7.65999985,1,0
225,0.225107,-7.65999985,1,1,-7.65999985,1,0
226,0.226104,-7.65999985,1,1,-7.65999985,1,0
227,0.227098,-7.65999985,1,1,-7.65999985,1,0
228,0.228102,-7.65999985,1,1,-7.65999985,1,0
229,0.229093,-7.65999985,1,1,-7.65999985,1,0
230,0.230105,-7.65999985,1,1,-7.65999985,1,0
231,0.231096,-7.65999985,1,1,-7.65999985,1,0
232,0.232107,-7.65999985,1,1,-7.65999985,1,0
233,0.233090,-7.65999985,1,1,-7.65999985,1,0
234,0.234102,-7.65999985,1,1,-7.65999985,1,0
235,0.235093,-7.65999985,1,1,-7.65999985,1,0
236,0.236105,-7.65999985,1,1,-7.65999985,1,0
237,0.237112,-7.65999985,1,1,-7.65999985,1,0
238,0.238096,-7.65999985,1,1,-7.65999985,1,0
239,0.239107,-7.65999985,1,1,-7.65999985,1,0
240,0.240091,-7.65999985,1,1,-7.65999985,1,0
241,0.241102,-7.65999985,1,1,-7.65999985,1,0
242,0.242093,-7.65999985,1,1,-7.65999985,1,0
243,0.243104,-7.65999985,1,1,-7.65999985,1,0
244,0.244095,-8.13000011,1,1,-8.13000011,1,0
245,0.245107,-8.13000011,1,1,-8.13000011,1,0
246,0.246090,-8.13000011,1,1,-8.13000011,1,0
247,0.247181,-8.13000011,1,1,-8.13000011,1,0
248,0.248089,-8.13000011,1,1,-8.13000011,1,0
249,0.249108,-8.13000011,1,1,-8.13000011,1,0
250,0.250092,-8.13000011,1,1,-8.13000011,1,0
251,0.251103,-8.13000011,1,1,-8.13000011,1,0
252,0.252094,-8.13000011,1,1,-8.13000011,1,0
253,0.253106,-8.13000011,1,1,-8.13000011,1,0
254,0.254089,-7.1500001,1,1,-7.1500001,1,0
255,0.255108,-7.1500001,1,1,-7.1500001,1,0
256,0.256091,-7.1500001,1,1,-7.1500001,1,0
257,0.257106,-7.1500001,1,1,-7.1500001,1,0
258,0.258107,-7.1500001,1,1,-7.1500001,1,0
259,0.259104,-7.1500001,1,1,-7.1500001,1,0
260,0.260105,-7.1500001,1,1,-7.1500001,1,0
261,0.261102,-7.1500001,1,1,-7.1500001,1,0
262,0.262093,-7.1500001,1,1,-7.1500001,1,0
263,0.263105,-7.1500001,1,1,-7.1500001,1,0
264,0.264096,-7.1500001,1,1,-7.1500001,1,0
265,0.265107,-7.1500001,1,1,-7.1500001,1,0
266,0.266090,-7.1500001,1,1,-7.1500001,1,0
267,0.267104,-7.1500001,1,1,-7.1500001,1,0
268,0.268095,-7.1500001,0,1,-7.1500001,1,0
269,0.269107,-7.17500019,0,0,-7.1500001,1,0
270,0.270090,-7.20000029,0,0,-7.1500001,1,0
271,0.271126,-7.22500038,0,0,-7.1500001,1,0
272,0.272099,-7.25000048,0,0,-7.1500001,1,0
273,0.273103,-7.27500057,0,0,-7.1500001,1,0
274,0.274094,-7.30000067,0,0,-7.1500001,1,0
275,0.275105,-7.32500076,0,0,-7.1500001,1,0
276,0.276096,-7.35000086,0,0,-7.1500001,1,0
