Index,Time,((Motor_shooterMotorLeft).encoder).speed,((Shoot_Control).shoot_speed).referee_bullet_speed[0],((Shoot_Control).shoot_left).fdb,((Shoot_Control).shoot_right).fdb,((Motor_shooterMotorRight).encoder).speed,shoot_diff_tick
133,0.133088,0,29.6499996,0,0,0,47
134,0.134087,0,29.6499996,0,0,0,47
135,0.135089,0,29.6499996,0,0,0,47
136,0.136088,0,29.6499996,0,0,0,47
137,0.137089,0,29.6499996,0,0,0,47
138,0.138101,0,29.6499996,0,0,0,47
139,0.139085,0,29.6499996,0,0,0,47
140,0.140087,0,29.6499996,0,0,0,47
141,0.141085,0,29.6499996,0,0,0,47
142,0.142087,0,29.6499996,0,0,0,47
143,0.143086,0,29.6499996,0,0,0,47
144,0.144088,0,29.6499996,0,0,0,47
145,0.145087,0,29.6499996,0,0,0,47
146,0.146089,0.00901213568,29.6499996,0.00901213568,0,0,47
147,0.147087,0,29.6499996,0,0,0,47
148,0.148089,0,29.6499996,0,0,0,47
149,0.149091,-0.00901213568,29.6499996,-0.00901213568,0,0,47
150,0.150106,0,29.6499996,0,0,0,47
151,0.151087,0,29.6499996,0,0,0,47
152,0.152089,0,29.6499996,0,0,0,47
153,0.153088,0,29.6499996,0,0,0,47
154,0.154090,0,29.6499996,0,0,0,47
155,0.155088,0,29.6499996,0,0,0,47
156,0.156090,0,29.6499996,0,0,0,47
157,0.157089,0,29.6499996,0,0,0,47
158,0.158115,0,29.6499996,0,0,0,47
159,0.159108,0,29.6499996,0,0,0,47
160,0.160088,0,29.6499996,0,0,0,47
161,0.161108,0,29.6499996,0,0,0,47
162,0.162088,0,29.6499996,0,0,0,47
163,0.163090,0,29.6499996,0,0,0,47
164,0.164088,0,29.6499996,0,0,0,47
165,0.165089,0,29.6499996,0,0,0,47
166,0.166087,0,29.6499996,0,0,0,47
167,0.167089,0,29.6499996,0,0,0,47
168,0.168087,0,29.6499996,0,0,0,47
169,0.169091,0,29.6499996,0,0,0,47
170,0.170089,0,29.6499996,0,0,0,47
171,0.171090,0,29.6499996,0,0,0,47
172,0.172131,0,29.6499996,0,0,0,47
173,0.173091,0,29.6499996,0,0,0,47
174,0.174092,0,29.6499996,0,0,0,47
175,0.175085,0,29.6499996,0,0,0,47
