Index,Time,((Shoot_Control).feed_ang).ref,((Shoot_Control).feed_ang).fdb,(AutoAim_Control).buff_pitch
362,0.362086,0,0,0
363,0.363090,0,0,0
364,0.364090,0,0,0
365,0.365086,0,0,0
366,0.366086,0,0,0
367,0.367090,0,0,0
368,0.368085,0,0,0
369,0.369150,0,0,0
370,0.370090,0,0,0
371,0.371090,0,0,0
372,0.372086,0,0,0
373,0.373086,0,0,0
374,0.374089,0,0,0
375,0.375087,0,0,0
376,0.376091,0,0,0
377,0.377090,0,0,0
378,0.378088,0,0,0
379,0.379087,0,0,0
380,0.380115,0,0,0
381,0.381106,0,0,0
382,0.382090,0,0,0
383,0.383085,0,0,0
384,0.384092,0,0,0
385,0.385088,0,0,0
386,0.386087,0,0,0
387,0.387106,0,0,0
388,0.388092,0,0,0
389,0.389088,0,0,0
390,0.390087,0,0,0
391,0.391195,0,0,0
392,0.392091,0,0,0
393,0.393090,0,0,0
394,0.394086,0,0,0
395,0.395085,0,0,0
396,0.396088,0,0,0
397,0.397088,0,0,0
398,0.398086,0,0,0
399,0.399085,0,0,0
400,0.400089,0,0,0
401,0.401112,0,0,0
402,0.402102,0,0,0
403,0.403085,0,0,0
404,0.404089,0,0,0
405,0.405088,0,0,0
406,0.406091,0,0,0
407,0.407091,0,0,0
408,0.408089,0,0,0
409,0.409089,0,0,0
410,0.410085,0,0,0
411,0.411085,0,0,0
412,0.412089,0,0,0
413,0.413102,0,0,0
414,0.414086,0,0,0
415,0.415090,0,0,0
416,0.416090,0,0,0
417,0.417086,0,0,0
418,0.418089,0,0,0
419,0.419086,0,0,0
420,0.420086,0,0,0
421,0.421090,0,0,0
422,0.422090,0,0,0
423,0.423111,0,0,0
424,0.424102,0,0,0
425,0.425086,0,0,0
426,0.426091,0,0,0
427,0.427091,0,0,0
428,0.428090,0,0,0
429,0.429090,0,0,0
430,0.430086,0,0,0
431,0.431086,0,0,0
432,0.432090,0,0,0
433,0.433090,0,0,0
434,0.434086,0,0,0
435,0.435147,0,0,0
436,0.436092,0,0,0
437,0.437092,0,0,0
438,0.438092,0,0,0
439,0.439091,0,0,0
440,0.440086,0,0,0
441,0.441092,0,0,0
442,0.442088,0,0,0
443,0.443087,0,0,0
444,0.444090,0,0,0
445,0.445250,0,0,0
446,0.446090,0,0,0
447,0.447107,0,0,0
448,0.448085,0,0,0
449,0.449089,0,0,0
450,0.450088,0,0,0
451,0.451091,0,0,0
452,0.452090,0,0,0
453,0.453086,0,0,0
454,0.454085,0,0,0
455,0.455088,0,0,0
456,0.456087,0,0,0
457,0.457091,0,0,0
458,0.458122,0,0,0
459,0.459085,0,0,0
460,0.460089,0,0,0
461,0.461088,0,0,0
462,0.462091,0,0,0
463,0.463090,0,0,0
464,0.464086,0,0,0
465,0.465085,0,0,0
466,0.466088,0,0,0
467,0.467087,0,0,0
468,0.468086,0,0,0
469,0.469101,0,0,0
470,0.470085,0,0,0
471,0.471088,0,0,0
472,0.472088,0,0,0
473,0.473091,0,0,0
474,0.474090,0,0,0
475,0.475086,0,0,0
476,0.476086,0,0,0
477,0.477091,0,0,0
478,0.478086,0,0,0
479,0.479090,0,0,0
480,0.480107,0,0,0
481,0.481091,0,0,0
482,0.482088,0,0,0
483,0.483087,0,0,0
484,0.484092,0,0,0
485,0.485092,0,0,0
486,0.486088,0,0,0
487,0.487088,0,0,0
488,0.488087,0,0,0
489,0.489087,0,0,0
490,0.490091,0,0,0
491,0.491102,0,0,0
492,0.492086,0,0,0
493,0.493090,0,0,0
494,0.494090,0,0,0
495,0.495086,0,0,0
496,0.496086,0,0,0
497,0.497091,0,0,0
498,0.498086,0,0,0
499,0.499090,0,0,0
500,0.500090,0,0,0
501,0.501101,0,0,0
502,0.502085,0,0,0
503,0.503090,0,0,0
504,0.504090,0,0,0
505,0.505100,0,0,0
506,0.506090,0,0,0
507,0.507086,0,0,0
508,0.508088,0,0,0
509,0.509091,0,0,0
510,0.510091,0,0,0
511,0.511086,0,0,0
512,0.512200,0,0,0
513,0.513087,0,0,0
514,0.514091,0,0,0
515,0.515090,0,0,0
516,0.516086,0,0,0
517,0.517085,0,0,0
518,0.518091,0,0,0
519,0.519090,0,0,0
520,0.520086,0,0,0
521,0.521085,0,0,0
522,0.522088,0,0,0
523,0.523100,0,0,0
524,0.524091,0,0,0
525,0.525087,0,0,0
526,0.526086,0,0,0
527,0.527089,0,0,0
528,0.528092,0,0,0
529,0.529087,0,0,0
530,0.530086,0,0,0
531,0.531089,0,0,0
532,0.532088,0,0,0
533,0.533185,0,0,0
534,0.534088,0,0,0
535,0.535092,0,0,0
536,0.536092,0,0,0
537,0.537087,0,0,0
538,0.538089,0,0,0
539,0.539093,0,0,0
540,0.540092,0,0,0
541,0.541089,0,0,0
542,0.542089,0,0,0
543,0.543085,0,0,0
544,0.544133,0,0,0
545,0.545088,0,0,0
546,0.546088,0,0,0
547,0.547085,0,0,0
548,0.548088,0,0,0
549,0.549092,0,0,0
550,0.550092,0,0,0
551,0.551088,0,0,0
552,0.552088,0,0,0
553,0.553092,0,0,0
554,0.554092,0,0,0
555,0.555088,0,0,0
556,0.556151,0,0,0
557,0.557106,0,0,0
558,0.558086,0,0,0
559,0.559090,0,0,0
560,0.560090,0,0,0
561,0.561086,0,0,0
562,0.562086,0,0,0
563,0.563091,0,0,0
564,0.564091,0,0,0
565,0.565087,0,0,0
566,0.566111,0,0,0
567,0.567106,0,0,0
568,0.568085,0,0,0
569,0.569090,0,0,0
570,0.570089,0,0,0
571,0.571092,0,0,0
572,0.572090,0,0,0
573,0.573086,0,0,0
574,0.574085,0,0,0
575,0.575088,0,0,0
576,0.576087,0,0,0
577,0.577091,0,0,0
578,0.578101,0,0,0
579,0.579092,0,0,0
580,0.580088,0,0,0
581,0.581087,0,0,0
582,0.582091,0,0,0
583,0.583090,0,0,0
584,0.584086,0,0,0
585,0.585085,0,0,0
586,0.586088,0,0,0
587,0.587087,0,0,0
588,0.588086,0,0,0
589,0.589102,0,0,0
590,0.590085,0,0,0
591,0.591089,0,0,0
592,0.592088,0,0,0
593,0.593092,0,0,0
594,0.594091,0,0,0
595,0.595086,0,0,0
596,0.596085,0,0,0
597,0.597089,0,0,0
598,0.598091,0,0,0
599,0.599086,0,0,0
600,0.600101,0,0,0
601,0.601092,0,0,0
602,0.602088,0,0,0
603,0.603087,0,0,0
604,0.604091,0,0,0
605,0.605090,0,0,0
606,0.606086,0,0,0
607,0.607086,0,0,0
608,0.608086,0,0,0
609,0.609085,0,0,0
610,0.610090,0,0,0
611,0.611105,0,0,0
612,0.612089,0,0,0
613,0.613085,0,0,0
614,0.614085,0,0,0
615,0.615099,0,0,0
616,0.616091,0,0,0
617,0.617088,0,0,0
618,0.618091,0,0,0
619,0.619087,0,0,0
620,0.620087,0,0,0
621,0.621116,0,0,0
622,0.622100,0,0,0
623,0.623087,0,0,0
624,0.624091,0,0,0
625,0.625091,0,0,0
626,0.626087,0,0,0
627,0.627087,0,0,0
628,0.628086,0,0,0
629,0.629086,0,0,0
630,0.630091,0,0,0
631,0.631091,0,0,0
632,0.632087,0,0,0
633,0.633104,0,0,0
634,0.634087,0,0,0
635,0.635092,0,0,0
636,0.636091,0,0,0
637,0.637085,0,0,0
638,0.638087,0,0,0
639,0.639091,0,0,0
640,0.640090,0,0,0
641,0.641085,0,0,0
642,0.642092,0,0,0
643,0.643088,0,0,0
644,0.644124,0,0,0
645,0.645089,0,0,0
646,0.646085,0,0,0
647,0.647092,0,0,0
648,0.648091,0,0,0
649,0.649090,0,0,0
650,0.650085,0,0,0
651,0.651092,0,0,0
652,0.652088,0,0,0
