Index,Time,(MiniPC_Data).is_shoot,(MiniPC_Data).buff_yaw,(MiniPC_Data).buff_pitch,((Shoot_Control).feed_ang).ref
52,0.052088,0,-5165,-1644,1100.72925
53,0.053093,0,-5165,-1644,1100.72925
54,0.054086,0,-5165,-1644,1100.72925
55,0.055091,0,-5165,-1644,1100.72925
56,0.056093,0,-5159,-1643,1100.72925
57,0.057089,0,-5159,-1643,1100.72925
58,0.058092,0,-5159,-1643,1100.72925
59,0.059088,0,-5159,-1643,1100.72925
60,0.060093,0,-5159,-1643,1100.72925
61,0.061104,0,-5159,-1643,1100.72925
62,0.062088,0,-5159,-1643,1100.72925
63,0.063093,0,-5159,-1643,1100.72925
64,0.064086,0,-5159,-1643,1100.72925
65,0.065091,0,-5159,-1643,1100.72925
66,0.066093,0,-5159,-1643,1100.72925
67,0.067090,0,-5159,-1643,1100.72925
68,0.068092,0,-5159,-1643,1100.72925
69,0.069088,0,-5159,-1643,1100.72925
70,0.070093,0,-5159,-1643,1100.72925
71,0.071089,0,-5159,-1643,1100.72925
72,0.072091,0,-5159,-1643,1100.72925
73,0.073101,0,-5159,-1643,1100.72925
74,0.074107,0,-5159,-1643,1100.72925
75,0.075090,0,-5159,-1643,1100.72925
76,0.076087,0,-5159,-1643,1100.72925
77,0.077089,0,-5159,-1643,1100.72925
78,0.078085,0,-5159,-1643,1100.72925
79,0.079087,0,-5159,-1643,1100.72925
80,0.080085,0,-5159,-1643,1100.72925
81,0.081085,0,-5159,-1643,1100.72925
82,0.082090,0,-5159,-1643,1100.72925
83,0.083091,0,-5196,-1648,1100.72925
84,0.084087,0,-5196,-1648,1100.72925
85,0.085088,0,-5196,-1648,1100.72925
86,0.086099,0,-5196,-1648,1100.72925
87,0.087091,0,-5196,-1648,1100.72925
88,0.088088,0,-5196,-1648,1100.72925
89,0.089089,0,-5196,-1648,1100.72925
90,0.090088,0,-5196,-1648,1100.72925
91,0.091089,0,-5196,-1648,1100.72925
92,0.092093,0,-5196,-1648,1100.72925
93,0.093085,0,-5196,-1648,1100.72925
94,0.094090,0,-5196,-1648,1100.72925
95,0.095091,0,-5196,-1648,1100.72925
96,0.096087,0,-5196,-1648,1100.72925
97,0.097104,0,-5196,-1648,1100.72925
98,0.098087,0,-5196,-1648,1100.72925
99,0.099092,0,-5196,-1648,1100.72925
100,0.100087,0,-5196,-1648,1100.72925
101,0.101092,0,-5196,-1648,1100.72925
102,0.102093,0,-5196,-1648,1100.72925
103,0.103089,0,-5196,-1648,1100.72925
104,0.104090,0,-5196,-1648,1100.72925
105,0.105086,0,-5196,-1648,1100.72925
106,0.106087,0,-5196,-1648,1100.72925
107,0.107092,0,-5196,-1648,1100.72925
108,0.108093,0,-5196,-1648,1100.72925
109,0.109101,0,-5196,-1648,1100.72925
110,0.110087,0,-5202,-1646,1100.72925
111,0.111092,0,-5202,-1646,1100.72925
112,0.112093,0,-5202,-1646,1100.72925
113,0.113089,0,-5202,-1646,1100.72925
114,0.114091,0,-5202,-1646,1100.72925
115,0.115087,0,-5202,-1646,1100.72925
116,0.116089,0,-5202,-1646,1100.72925
117,0.117085,0,-5202,-1646,1100.72925
118,0.118086,0,-5202,-1646,1100.72925
119,0.119092,0,-5202,-1646,1100.72925
120,0.120104,0,-5202,-1646,1100.72925
121,0.121088,0,-5202,-1646,1100.72925
122,0.122085,0,-5202,-1646,1100.72925
123,0.123087,0,-5202,-1646,1100.72925
124,0.124092,0,-5202,-1646,1100.72925
125,0.125093,0,-5202,-1646,1100.72925
126,0.126090,0,-5202,-1646,1100.72925
127,0.127092,0,-5202,-1646,1100.72925
128,0.128088,0,-5202,-1646,1100.72925
129,0.129089,0,-5202,-1646,1100.72925
130,0.130089,0,-5202,-1646,1100.72925
131,0.131116,0,-5202,-1646,1100.72925
132,0.132108,0,-5202,-1646,1100.72925
133,0.133108,0,-5202,-1646,1100.72925
134,0.134092,0,-5202,-1646,1100.72925
135,0.135088,0,-5202,-1646,1100.72925
136,0.136090,0,-5198,-1643,1100.72925
137,0.137086,0,-5198,-1643,1100.72925
138,0.138088,0,-5198,-1643,1100.72925
139,0.139085,0,-5198,-1643,1100.72925
140,0.140090,0,-5198,-1643,1100.72925
